"Typ","QuarCd","QuarLang","ZoneSort","ZoneLang","Jahr","FrQmBodenGanzeLieg","FrQmBodenStwE","FrQmBodenAlleHA","FrQmBodenNettoGanzeLieg","FrQmBodenNettoStwE","FrQmBodenNettoAlleHA","FrQmWohnflStwE"
"Preis",11,"Rathaus",102,"Kernzonen",2021,"29752","40765","38928","20520","25342","24220","17860"
"Preis",11,"Rathaus",102,"Kernzonen",2020,".","52797","52797",".","35773","35773","18000"
"Preis",11,"Rathaus",102,"Kernzonen",2019,"44766","44343","44554","29201","27261","28231","12860"
"Preis",11,"Rathaus",102,"Kernzonen",2018,"33364","63887","44428","16493","39152","32613","17530"
"Preis",11,"Rathaus",102,"Kernzonen",2017,"40753","51776","45015","13981","23259","19263","14180"
"Preis",11,"Rathaus",102,"Kernzonen",2016,"73525","61375","67348","53488","39210","48090","18810"
"Preis",11,"Rathaus",102,"Kernzonen",2015,"81818","38427","44231","57146","20063","20769","12500"
"Preis",11,"Rathaus",102,"Kernzonen",2014,"43411",".","39078","26085",".","23636","."
"Preis",11,"Rathaus",102,"Kernzonen",2013,"40287","57462","47964","18889","35330","24941","14470"
"Preis",11,"Rathaus",102,"Kernzonen",2012,"55265",".","54041","31515",".","31009","."
"Preis",11,"Rathaus",102,"Kernzonen",2011,"38333","34666","37634","15591","18816","12382","10000"
"Preis",11,"Rathaus",102,"Kernzonen",2010,"47486","48273","47486","6288","26177","20105","16720"
"Preis",11,"Rathaus",102,"Kernzonen",2009,"31556","40486","38888","15665","19540","18105","13600"
"Preis",11,"Rathaus",102,"Kernzonen",2008,"24850",".","24850","13339",".","13339","."
"Zahl",11,"Rathaus",102,"Kernzonen",2021,"1–3","2-4","7","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2020,"","6","6","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2019,"1–3","1-5","8","","","","5"
"Zahl",11,"Rathaus",102,"Kernzonen",2018,"1-4","1–3","1-6","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2017,"1–3","2-4","6","","","","3-5"
"Zahl",11,"Rathaus",102,"Kernzonen",2016,"4","1–3","6","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2015,"1–3","1–3","1–3","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2014,"5","","6","","","",""
"Zahl",11,"Rathaus",102,"Kernzonen",2013,"1-4","6-8","11","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2012,"1–3","","2-4","","","",""
"Zahl",11,"Rathaus",102,"Kernzonen",2011,"5","7","15","","","","5-7"
"Zahl",11,"Rathaus",102,"Kernzonen",2010,"7","1–3","9","","","","1–3"
"Zahl",11,"Rathaus",102,"Kernzonen",2009,"6","12","20","","","","9"
"Zahl",11,"Rathaus",102,"Kernzonen",2008,"1–3","","1–3","","","",""
"Preis",12,"Hochschulen",102,"Kernzonen",2021,"73612",".","42065","55803",".","25990","."
"Preis",12,"Hochschulen",102,"Kernzonen",2020,"52832","54878","53855","35610","41463","38537","."
"Preis",12,"Hochschulen",102,"Kernzonen",2019,"117789",".","117789","89543",".","89543","."
"Preis",12,"Hochschulen",102,"Kernzonen",2018,"17137","33698","17137","5484","19488","9309","20000"
"Preis",12,"Hochschulen",102,"Kernzonen",2017,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",102,"Kernzonen",2016,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",102,"Kernzonen",2015,"21076","28049","26750","14073","14715","14251","11150"
"Preis",12,"Hochschulen",102,"Kernzonen",2014,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",102,"Kernzonen",2013,"31550",".","31550","20538",".","20538","."
"Preis",12,"Hochschulen",102,"Kernzonen",2012,"8967",".","8967",".",".",".","."
"Preis",12,"Hochschulen",102,"Kernzonen",2011,"34254",".","34254","22983",".","22983","."
"Preis",12,"Hochschulen",102,"Kernzonen",2010,"19714",".","19714","13403",".","13403","."
"Preis",12,"Hochschulen",102,"Kernzonen",2009,"49860","11240","30550","23073",".","23073","."
"Preis",12,"Hochschulen",102,"Kernzonen",2008,".","84022","84022",".","49275","49275","."
"Zahl",12,"Hochschulen",102,"Kernzonen",2021,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2020,"1–3","1–3","4","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2019,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2018,"1–3","1–3","1–3","","","","1–3"
"Zahl",12,"Hochschulen",102,"Kernzonen",2017,"","","","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2016,"","","","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2015,"1–3","1–3","5-7","","","","1–3"
"Zahl",12,"Hochschulen",102,"Kernzonen",2014,"","","","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2013,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2012,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2011,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2010,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2009,"1–3","1–3","1–3","","","",""
"Zahl",12,"Hochschulen",102,"Kernzonen",2008,"","1–3","1–3","","","",""
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2021,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2020,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2019,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2018,".",".",".",".",".",".","20000"
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2017,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2016,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2015,"99854",".","99854","59955",".","59955","11150"
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2014,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2013,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2012,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2011,".",".",".",".",".",".","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2010,"19512",".","19512","4323",".","4323","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2009,"17857",".","17857","5827",".","5827","."
"Preis",12,"Hochschulen",103,"Quartiererhaltungszonen",2008,".",".",".",".",".",".","."
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2021,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2020,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2019,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2018,"","","","","","","1–3"
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2017,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2016,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2015,"1–3","","1–3","","","","1–3"
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2014,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2013,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2012,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2011,"","","","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2010,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2009,"1–3","","1–3","","","",""
"Zahl",12,"Hochschulen",103,"Quartiererhaltungszonen",2008,"","","","","","",""
"Preis",13,"Lindenhof",102,"Kernzonen",2021,"140745","96998","120833","116650","71028","96250","."
"Preis",13,"Lindenhof",102,"Kernzonen",2020,"84432","85493","85493","68362","66936","67943","12670"
"Preis",13,"Lindenhof",102,"Kernzonen",2019,"106538","100789","100789","77323","81770","81770","."
"Preis",13,"Lindenhof",102,"Kernzonen",2018,"88255","108623","88255","117234","89587","89587","34470"
"Preis",13,"Lindenhof",102,"Kernzonen",2017,".","99864","99864",".","77936","77936","14310"
"Preis",13,"Lindenhof",102,"Kernzonen",2016,"191429","74711","123249","159429","52786","96532","19010"
"Preis",13,"Lindenhof",102,"Kernzonen",2015,"75893","92231","89286","53562","16338","46678","."
"Preis",13,"Lindenhof",102,"Kernzonen",2014,"148630","73647","76441","116735","49778","49778","18000"
"Preis",13,"Lindenhof",102,"Kernzonen",2013,"70861","35791","53326","34185","1551","17868","13330"
"Preis",13,"Lindenhof",102,"Kernzonen",2012,"68872","55840","58810","52335","35607","39293","6470"
"Preis",13,"Lindenhof",102,"Kernzonen",2011,"79235","80728","76430","58235","59473","59002","27590"
"Preis",13,"Lindenhof",102,"Kernzonen",2010,"69918","36945","43370","45448","20703","20703","8850"
"Preis",13,"Lindenhof",102,"Kernzonen",2009,"47255","41987","42039","37086","23152","32384","11210"
"Preis",13,"Lindenhof",102,"Kernzonen",2008,".","83438","83438",".","62683","62683","."
"Zahl",13,"Lindenhof",102,"Kernzonen",2021,"1–3","1–3","1–3","","","",""
"Zahl",13,"Lindenhof",102,"Kernzonen",2020,"4","5-7","9","","","","7-9"
"Zahl",13,"Lindenhof",102,"Kernzonen",2019,"4","1–3","3-5","","","",""
"Zahl",13,"Lindenhof",102,"Kernzonen",2018,"5","1–3","7","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2017,"","1–3","1–3","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2016,"1–3","1–3","4-6","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2015,"4","1–3","5","","","",""
"Zahl",13,"Lindenhof",102,"Kernzonen",2014,"1–3","1–3","5","","","","4"
"Zahl",13,"Lindenhof",102,"Kernzonen",2013,"1–3","1–3","1–3","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2012,"1–3","1–3","5","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2011,"2-4","5-7","10","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2010,"1–3","2-4","6","","","","1–3"
"Zahl",13,"Lindenhof",102,"Kernzonen",2009,"1–3","1-4","6-8","","","","4-6"
"Zahl",13,"Lindenhof",102,"Kernzonen",2008,"","1–3","1–3","","","",""
"Preis",14,"City",101,"Zentrumszonen",2021,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2020,".",".","17915",".",".","9476","."
"Preis",14,"City",101,"Zentrumszonen",2019,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2018,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2017,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2016,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2015,".",".",".",".",".",".","14550"
"Preis",14,"City",101,"Zentrumszonen",2014,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2013,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2012,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2011,".",".",".",".",".",".","."
"Preis",14,"City",101,"Zentrumszonen",2010,"52326",".","52326","28378",".","28378","."
"Preis",14,"City",101,"Zentrumszonen",2009,".",".",".",".",".",".","4600"
"Preis",14,"City",101,"Zentrumszonen",2008,".",".",".",".",".",".","."
"Zahl",14,"City",101,"Zentrumszonen",2021,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2020,"","","1–3","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2019,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2018,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2017,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2016,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2015,"","","","","","","1–3"
"Zahl",14,"City",101,"Zentrumszonen",2014,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2013,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2012,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2011,"","","","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2010,"1–3","","1–3","","","",""
"Zahl",14,"City",101,"Zentrumszonen",2009,"","","","","","","1–3"
"Zahl",14,"City",101,"Zentrumszonen",2008,"","","","","","",""
"Preis",14,"City",102,"Kernzonen",2021,"87766",".","87766","66739",".","66739","."
"Preis",14,"City",102,"Kernzonen",2020,"116564",".","199353","91736",".","161422","."
"Preis",14,"City",102,"Kernzonen",2019,"78274","9301","76220","56738","3944","39563","."
"Preis",14,"City",102,"Kernzonen",2018,"70622",".","70622","53655",".","53655","."
"Preis",14,"City",102,"Kernzonen",2017,"68313",".","76508","41858",".","49394","."
"Preis",14,"City",102,"Kernzonen",2016,"83258",".","64622","43457",".","33817","."
"Preis",14,"City",102,"Kernzonen",2015,"45986","21322","23530","24184","16445","21089","14550"
"Preis",14,"City",102,"Kernzonen",2014,"66887",".","67394","43709",".","47990","."
"Preis",14,"City",102,"Kernzonen",2013,"70811",".","70864","47022",".","49527","."
"Preis",14,"City",102,"Kernzonen",2012,"81535",".","82180","54607",".","55914","."
"Preis",14,"City",102,"Kernzonen",2011,"61764",".","66370","43534",".","51230","."
"Preis",14,"City",102,"Kernzonen",2010,"58661",".","59184","37618",".","36759","."
"Preis",14,"City",102,"Kernzonen",2009,"47862","1520","23231","35576","8952","35285","4600"
"Preis",14,"City",102,"Kernzonen",2008,"61701","1520","1520","32733",".","66649","."
"Zahl",14,"City",102,"Kernzonen",2021,"6","","6-10","","","",""
"Zahl",14,"City",102,"Kernzonen",2020,"1–3","","5","","","",""
"Zahl",14,"City",102,"Kernzonen",2019,"5","1–3","7","","","",""
"Zahl",14,"City",102,"Kernzonen",2018,"1–3","","1–3","","","",""
