"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1423,1409,1438,781,774,796,1046,1030,1060,1336,1310,1360,1712,1690,1750,2155,2120,2200,46692,13488,1714
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1847,1781,1913,1091,1050,1131,1405,1306,1526,1950,1821,2080,2227,2080,2380,2490,2273,2914,1498,488,60
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1612,1584,1640,930,900,957,1270,1240,1310,1523,1500,1560,1960,1900,2040,2350,2319,2449,13182,3066,473
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1444,1423,1466,818,804,832,1099,1078,1130,1377,1339,1405,1701,1682,1758,2099,2036,2160,20055,5902,753
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1165,1119,1210,691,679,718,880,856,913,1143,1096,1160,1313,1267,1390,1650,1532,1819,6782,2343,249
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1079,1037,1121,662,652,694,810,777,840,1005,950,1067,1225,1138,1245,1396,1310,1527,5175,1689,179
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1599,1584,1615,796,785,808,1080,1065,1095,1470,1451,1495,1951,1920,2000,2557,2500,2600,74180,23293,1865
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",2299,2171,2427,1181,1094,1292,1471,1389,1545,2423,1951,2653,2977,2686,3149,3269,3066,3700,1662,493,39
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1825,1787,1864,855,819,898,1350,1270,1400,1750,1700,1830,2250,2200,2328,2723,2650,2865,16917,4309,421
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1702,1678,1726,846,824,867,1200,1175,1246,1589,1556,1629,2100,2014,2179,2650,2578,2720,31466,9730,784
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1349,1322,1376,756,739,783,1000,978,1024,1297,1263,1340,1617,1531,1700,1933,1849,2033,12702,4637,346
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1158,1121,1194,725,709,746,885,851,899,1069,1048,1099,1362,1310,1413,1650,1569,1764,11433,4124,275
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",1964,1944,1983,1033,1018,1050,1347,1323,1367,1787,1758,1800,2394,2350,2443,3100,3056,3200,40897,13791,1657
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",2574,2497,2650,1374,1261,1488,1609,1530,1735,2826,2514,3109,3407,3169,3523,3601,3521,3791,1149,448,33
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",2292,2237,2347,1156,1084,1196,1594,1528,1663,2121,2029,2229,2899,2762,2980,3500,3309,3706,6985,1845,288
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",4,"4 Zimmer",0,"Alle Wohnungen",1,"Wohnung",1,"Netto",2105,2072,2139,1113,1083,1143,1500,1461,1531,1950,1920,1983,2502,2455,2600,3226,3080,3322,16982,5602,675
